Name,Rarity,Level,Element Type,Abilities,CP,Avg. Attack,Defense,HP,Avg. Speed,Stamina,Price
Dinossom Lux,Rare,7,ElectricityDragon,"[{'name': 'Shockwave', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '0 - 300'}, {'name': 'Plasma Tornado', 'level': 7, 'power': 65, 'cooldown': 13, 'range': '500 - 9999'}, {'name': 'Botanical Smash', 'level': 15, 'power': 60, 'cooldown': 8, 'range': '0 - 1500'}, {'name': 'Draconic Breath', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Tri-Lightning', 'level': 30, 'power': 90, 'cooldown': 22, 'range': '0 - 9999'}, {'name': 'Lightning Strike', 'level': 40, 'power': 120, 'cooldown': 40, 'range': '0 - 500'}, {'name': 'Lightning Bolt', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 3000'}]",290.0,90.0,90,110,440.0,100,3380
Direhowl,Common,2,Normal,"[{'name': 'Fierce Fang', 'level': 1, 'power': 45, 'cooldown': 2, 'range': '800 - 900'}, {'name': 'Sand Blast', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Air Cannon', 'level': 15, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Power Shot', 'level': 22, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Ignis Blast', 'level': 30, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Power Bomb', 'level': 40, 'power': 70, 'cooldown': 15, 'range': '1000 - 9999'}, {'name': 'Pal Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",255.0,100.0,75,80,646.6666666666666,70,1920
Dogen,Rare,6,Normal,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Power Shot', 'level': 7, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Stone Cannon', 'level': 15, 'power': 70, 'cooldown': 15, 'range': '500 - 2500'}, {'name': 'Power Bomb', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '1000 - 9999'}, {'name': 'Air Blade', 'level': 30, 'power': 85, 'cooldown': 20, 'range': '0 - 5000'}, {'name': 'Wholehearted Stance', 'level': 40, 'power': 170, 'cooldown': 30, 'range': '0 - 9999'}, {'name': 'Pal Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",290.0,100.0,100,90,298.3333333333333,100,4440
Dumud,Common,4,Earth,[],280.0,85.0,95,100,383.3333333333333,100,4690
Eikthyrdeer,Common,4,Normal,"[{'name': 'Power Shot', 'level': 1, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Antler Uppercut', 'level': 7, 'power': 50, 'cooldown': 5, 'range': '550 - 2000'}, {'name': 'Stone Blast', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Stone Cannon', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '500 - 2500'}, {'name': 'Power Bomb', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '1000 - 9999'}, {'name': 'Rock Lance', 'level': 40, 'power': 150, 'cooldown': 55, 'range': '100 - 9999'}, {'name': 'Pal Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",250.0,75.0,80,95,560.0,100,2620
Eikthyrdeer Terra,Rare,6,Earth,"[{'name': 'Power Shot', 'level': 1, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Antler Uppercut', 'level': 7, 'power': 50, 'cooldown': 5, 'range': '550 - 2000'}, {'name': 'Stone Blast', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Stone Cannon', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '500 - 2500'}, {'name': 'Power Bomb', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '1000 - 9999'}, {'name': 'Sand Tornado', 'level': 40, 'power': 80, 'cooldown': 18, 'range': '100 - 3000'}, {'name': 'Rock Lance', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '100 - 9999'}]",250.0,75.0,80,95,560.0,100,2680
Elizabee,Epic,8,Leaf,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Wind Cutter', 'level': 7, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Poison Blast', 'level': 15, 'power': 30, 'cooldown': 2, 'range': '500 - 3000'}, {'name': 'Spinning Lance', 'level': 22, 'power': 70, 'cooldown': 9, 'range': '0 - 600'}, {'name': 'Grass Tornado', 'level': 30, 'power': 80, 'cooldown': 18, 'range': '700 - 3000'}, {'name': 'Spine Vine', 'level': 40, 'power': 95, 'cooldown': 25, 'range': '500 - 9999'}, {'name': 'Solar Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",292.5,102.5,100,90,383.3333333333333,100,6830
Elphidran,Rare,7,Dragon,"[{'name': 'Dragon Cannon', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Dragon Burst', 'level': 7, 'power': 55, 'cooldown': 10, 'range': '0 - 200'}, {'name': 'Flare Arrow', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Mystic Whirlwind', 'level': 22, 'power': 70, 'cooldown': 10, 'range': '0 - 3000'}, {'name': 'Draconic Breath', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Pal Blast', 'level': 40, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}, {'name': 'Dragon Meteor', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 5000'}]",280.0,80.0,90,110,504.3333333333333,130,5230
Elphidran Aqua,Epic,8,DragonWater,"[{'name': 'Aqua Gun', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 5000'}, {'name': 'Dragon Cannon', 'level': 7, 'power': 30, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Dragon Burst', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '0 - 200'}, {'name': 'Mystic Whirlwind', 'level': 22, 'power': 70, 'cooldown': 10, 'range': '0 - 3000'}, {'name': 'Acid Rain', 'level': 30, 'power': 80, 'cooldown': 18, 'range': '100 - 1000'}, {'name': 'Hydro Laser', 'level': 40, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}, {'name': 'Dragon Meteor', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 5000'}]",290.0,80.0,95,115,504.3333333333333,130,5320
Faleris,Epic,9,Fire,"[{'name': 'Ignis Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Flare Arrow', 'level': 7, 'power': 55, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Spirit Fire', 'level': 15, 'power': 45, 'cooldown': 7, 'range': '1000 - 3000'}, {'name': 'Ignis Breath', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Phoenix Flare', 'level': 30, 'power': 135, 'cooldown': 28, 'range': '500 - 3000'}, {'name': 'Ignis Rage', 'level': 40, 'power': 120, 'cooldown': 40, 'range': '100 - 1000'}, {'name': 'Fire Ball', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 9999'}, {'name': 'Raging Flame Wave', 'level': 55, 'power': 145, 'cooldown': 38, 'range': '0 - 3000'}]",312.5,102.5,110,100,850.0,230,6720
Felbat,Rare,6,Dark,"[{'name': 'Poison Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 3000'}, {'name': 'Dark Ball', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 1000'}, {'name': 'Shadow Burst', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '0 - 300'}, {'name': 'Spirit Flame', 'level': 22, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Nightmare Ball', 'level': 30, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Ignis Rage', 'level': 40, 'power': 120, 'cooldown': 40, 'range': '100 - 1000'}, {'name': 'Dark Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",312.5,102.5,110,100,436.6666666666667,100,2100
Fenglope,Common,3,Normal,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Aqua Gun', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 5000'}, {'name': 'Cloud Tempest', 'level': 15, 'power': 90, 'cooldown': 15, 'range': '550 - 2000'}, {'name': 'Acid Rain', 'level': 22, 'power': 80, 'cooldown': 18, 'range': '100 - 1000'}, {'name': 'Aqua Burst', 'level': 30, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Blizzard Spike', 'level': 40, 'power': 130, 'cooldown': 45, 'range': '1000 - 9999'}, {'name': 'Pal Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",310.0,110.0,90,110,628.3333333333334,100,2250
Flambelle,Common,1,Fire,"[{'name': 'Ignis Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Spirit Fire', 'level': 7, 'power': 45, 'cooldown': 7, 'range': '1000 - 3000'}, {'name': 'Flare Arrow', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Spirit Flame', 'level': 22, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Flare Storm', 'level': 30, 'power': 80, 'cooldown': 18, 'range': '700 - 3000'}, {'name': 'Ignis Rage', 'level': 40, 'power': 120, 'cooldown': 40, 'range': '100 - 1000'}, {'name': 'Fire Ball', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 9999'}]",225.0,85.0,80,60,230.0,100,2500
Flopie,Common,1,Leaf,"[{'name': 'Wind Cutter', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Air Cannon', 'level': 7, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Hydro Jet', 'level': 15, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Seed Machine Gun', 'level': 22, 'power': 50, 'cooldown': 9, 'range': '0 - 300'}, {'name': 'Bubble Blast', 'level': 30, 'power': 65, 'cooldown': 13, 'range': '1000 - 3500'}, {'name': 'Grass Tornado', 'level': 40, 'power': 80, 'cooldown': 18, 'range': '700 - 3000'}, {'name': 'Solar Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",227.5,82.5,70,75,350.0,100,1220
Foxcicle,Rare,5,Ice,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Ice Missile', 'level': 7, 'power': 30, 'cooldown': 3, 'range': '800 - 3000'}, {'name': 'Icicle Cutter', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Spirit Flame', 'level': 22, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Iceberg', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '100 - 9999'}, {'name': 'Cryst Breath', 'level': 40, 'power': 90, 'cooldown': 22, 'range': '100 - 1000'}, {'name': 'Blizzard Spike', 'level': 50, 'power': 130, 'cooldown': 45, 'range': '1000 - 9999'}]",292.5,97.5,105,90,471.6666666666667,100,3730
Foxparks,Common,1,Fire,"[{'name': 'Ignis Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Sand Blast', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Spirit Fire', 'level': 15, 'power': 45, 'cooldown': 7, 'range': '1000 - 3000'}, {'name': 'Flare Arrow', 'level': 22, 'power': 55, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Ignis Breath', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Spirit Flame', 'level': 40, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Fire Ball', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 9999'}]",207.5,72.5,70,65,330.0,100,1040
Frostallion,Legendary,20,Ice,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Ice Missile', 'level': 7, 'power': 30, 'cooldown': 3, 'range': '800 - 3000'}, {'name': 'Icicle Cutter', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Iceberg', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '100 - 9999'}, {'name': 'Crystal Wing', 'level': 30, 'power': 110, 'cooldown': 24, 'range': '0 - 2500'}, {'name': 'Cryst Breath', 'level': 40, 'power': 90, 'cooldown': 22, 'range': '100 - 1000'}, {'name': 'Blizzard Spike', 'level': 50, 'power': 130, 'cooldown': 45, 'range': '1000 - 9999'}]",380.0,120.0,120,140,873.3333333333334,300,8440
Frostallion Noct,Legendary,20,Dark,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Dark Ball', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 1000'}, {'name': 'Shadow Burst', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '0 - 300'}, {'name': 'Spirit Flame', 'level': 22, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Crystal Wing', 'level': 30, 'power': 110, 'cooldown': 24, 'range': '0 - 2500'}, {'name': 'Nightmare Ball', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Dark Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",395.0,120.0,135,140,873.3333333333334,300,8560
Fuack,Common,1,Water,"[{'name': 'Aqua Gun', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 5000'}, {'name': 'Power Shot', 'level': 7, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Hydro Jet', 'level': 15, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Ice Missile', 'level': 22, 'power': 30, 'cooldown': 3, 'range': '800 - 3000'}, {'name': 'Bubble Blast', 'level': 30, 'power': 65, 'cooldown': 13, 'range': '1000 - 3500'}, {'name': 'Aqua Burst', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Hydro Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",200.0,80.0,60,60,256.6666666666667,100,1120
Fuddler,Common,1,Earth,"[{'name': 'Sand Blast', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Power Shot', 'level': 7, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Stone Blast', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Stone Cannon', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '500 - 2500'}, {'name': 'Power Bomb', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '1000 - 9999'}, {'name': 'Sand Tornado', 'level': 40, 'power': 80, 'cooldown': 18, 'range': '100 - 3000'}, {'name': 'Rock Lance', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '100 - 9999'}]",205.0,90.0,50,65,293.3333333333333,100,1360
Galeclaw,Common,2,Normal,"[{'name': 'Gale Claw', 'level': 1, 'power': 60, 'cooldown': 8, 'range': '0 - 1000'}, {'name': 'Air Cannon', 'level': 7, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Sand Blast', 'level': 15, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Wind Cutter', 'level': 22, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Sand Tornado', 'level': 30, 'power': 80, 'cooldown': 18, 'range': '100 - 3000'}, {'name': 'Grass Tornado', 'level': 40, 'power': 80, 'cooldown': 18, 'range': '700 - 3000'}, {'name': 'Pal Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",237.5,102.5,60,75,466.6666666666667,100,2010
Gobfin,Common,2,Water,"[{'name': 'Hydro Jet', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Power Shot', 'level': 7, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Aqua Gun', 'level': 15, 'power': 40, 'cooldown': 4, 'range': '500 - 5000'}, {'name': 'Bubble Blast', 'level': 22, 'power': 65, 'cooldown': 13, 'range': '1000 - 3500'}, {'name': 'Icicle Cutter', 'level': 30, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Aqua Burst', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Hydro Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",255.0,90.0,75,90,316.6666666666667,100,1840
Gobfin Ignis,Common,3,Fire,"[{'name': 'Ignis Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Power Shot', 'level': 7, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Spirit Fire', 'level': 15, 'power': 45, 'cooldown': 7, 'range': '1000 - 3000'}, {'name': 'Flare Arrow', 'level': 22, 'power': 55, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Lightning Streak', 'level': 30, 'power': 75, 'cooldown': 16, 'range': '500 - 2000'}, {'name': 'Fire Ball', 'level': 40, 'power': 150, 'cooldown': 55, 'range': '500 - 9999'}, {'name': 'Ignis Rage', 'level': 50, 'power': 120, 'cooldown': 40, 'range': '100 - 1000'}]",255.0,90.0,75,90,316.6666666666667,100,1800
Gorirat,Rare,5,Normal,"[{'name': 'Sand Blast', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Power Shot', 'level': 7, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Ground Pound', 'level': 15, 'power': 85, 'cooldown': 14, 'range': '0 - 500'}, {'name': 'Stone Blast', 'level': 22, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Seed Machine Gun', 'level': 30, 'power': 50, 'cooldown': 9, 'range': '0 - 300'}, {'name': 'Power Bomb', 'level': 40, 'power': 70, 'cooldown': 15, 'range': '1000 - 9999'}, {'name': 'Pal Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",282.5,102.5,90,90,445.3333333333333,100,2010
Gorirat Terra,Rare,5,Earth,"[{'name': 'Power Shot', 'level': 1, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Sand Blast', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Stone Blast', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Stone Cannon', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '500 - 2500'}, {'name': 'Ground Pound', 'level': 30, 'power': 85, 'cooldown': 14, 'range': '0 - 500'}, {'name': 'Rockburst', 'level': 40, 'power': 130, 'cooldown': 35, 'range': '0 - 1200'}, {'name': 'Rock Lance', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '100 - 9999'}]",285.0,105.0,90,90,445.3333333333333,100,4020
Grintale,Rare,6,Normal,"[{'name': 'Sand Blast', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Power Shot', 'level': 7, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Cat Press', 'level': 15, 'power': 60, 'cooldown': 9, 'range': '0 - 1500'}, {'name': 'Stone Blast', 'level': 22, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Stone Cannon', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '500 - 2500'}, {'name': 'Power Bomb', 'level': 40, 'power': 70, 'cooldown': 15, 'range': '1000 - 9999'}, {'name': 'Pal Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",280.0,90.0,80,110,477.3333333333333,100,5510
Grizzbolt,Epic,8,Electricity,"[{'name': 'Spark Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Shockwave', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '0 - 300'}, {'name': 'Lightning Claw', 'level': 15, 'power': 90, 'cooldown': 22, 'range': '0 - 700'}, {'name': 'Lightning Streak', 'level': 22, 'power': 75, 'cooldown': 16, 'range': '500 - 2000'}, {'name': 'Tri-Lightning', 'level': 30, 'power': 90, 'cooldown': 22, 'range': '0 - 9999'}, {'name': 'Lightning Strike', 'level': 40, 'power': 120, 'cooldown': 40, 'range': '0 - 500'}, {'name': 'Lightning Bolt', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 3000'}, {'name': 'Heavy Thunder Tank', 'level': 55, 'power': 160, 'cooldown': 42, 'range': '300 - 3000'}]",315.0,110.0,100,105,366.6666666666667,100,7720
Gumoss,Common,1,LeafEarth,"[{'name': 'Sand Blast', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Wind Cutter', 'level': 7, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Stone Blast', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Seed Machine Gun', 'level': 22, 'power': 50, 'cooldown': 9, 'range': '0 - 300'}, {'name': 'Seed Mine', 'level': 30, 'power': 65, 'cooldown': 13, 'range': '800 - 9999'}, {'name': 'Sand Tornado', 'level': 40, 'power': 80, 'cooldown': 18, 'range': '100 - 3000'}, {'name': 'Solar Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",225.0,85.0,70,70,250.0,100,1310
Hangyu,Common,1,Earth,"[{'name': 'Sand Blast', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 3000'}, {'name': 'Air Cannon', 'level': 7, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Wind Cutter', 'level': 15, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Power Shot', 'level': 22, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Power Bomb', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '1000 - 9999'}, {'name': 'Sand Tornado', 'level': 40, 'power': 80, 'cooldown': 18, 'range': '100 - 3000'}, {'name': 'Rock Lance', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '100 - 9999'}]",220.0,70.0,70,80,333.3333333333333,100,1020
Hangyu Cryst,Common,2,Ice,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Ice Missile', 'level': 7, 'power': 30, 'cooldown': 3, 'range': '800 - 3000'}, {'name': 'Power Shot', 'level': 15, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Icicle Cutter', 'level': 22, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Iceberg', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '100 - 9999'}, {'name': 'Cryst Breath', 'level': 40, 'power': 90, 'cooldown': 22, 'range': '100 - 1000'}, {'name': 'Blizzard Spike', 'level': 50, 'power': 130, 'cooldown': 45, 'range': '1000 - 9999'}]",225.0,75.0,70,80,333.3333333333333,100,1020
Helzephyr,Rare,7,Dark,"[{'name': 'Spirit Fire', 'level': 1, 'power': 45, 'cooldown': 7, 'range': '1000 - 3000'}, {'name': 'Dark Ball', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 1000'}, {'name': 'Shadow Burst', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '0 - 300'}, {'name': 'Flare Storm', 'level': 22, 'power': 80, 'cooldown': 18, 'range': '700 - 3000'}, {'name': 'Spirit Flame', 'level': 30, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Nightmare Ball', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Dark Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",312.5,112.5,100,100,633.3333333333334,170,7840
Helzephyr Lux,Epic,8,DarkElectricity,"[{'name': 'Spark Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Shockwave', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '0 - 300'}, {'name': 'Dark Arrow', 'level': 15, 'power': 65, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Nightmare Ball', 'level': 22, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'TriSpark', 'level': 30, 'power': 110, 'cooldown': 35, 'range': '300 - 3000'}, {'name': 'Thunder Rain', 'level': 40, 'power': 135, 'cooldown': 45, 'range': '0 - 2000'}, {'name': 'Thunderstorm', 'level': 50, 'power': 160, 'cooldown': 60, 'range': '0 - 5000'}]",317.5,112.5,100,105,633.3333333333334,170,8840
Hoocrates,Common,1,Dark,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Dark Ball', 'level': 7, 'power': 40, 'cooldown': 4, 'range': '500 - 1000'}, {'name': 'Shadow Burst', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '0 - 300'}, {'name': 'Sand Tornado', 'level': 22, 'power': 80, 'cooldown': 18, 'range': '100 - 3000'}, {'name': 'Spirit Flame', 'level': 30, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Nightmare Ball', 'level': 40, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Dark Laser', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",220.0,70.0,80,70,318.6666666666667,100,1050
Incineram,Common,4,FireDark,"[{'name': 'Ignis Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Spirit Fire', 'level': 7, 'power': 45, 'cooldown': 7, 'range': '1000 - 3000'}, {'name': 'Flare Arrow', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Hellfire Claw', 'level': 22, 'power': 70, 'cooldown': 10, 'range': '1100 - 1200'}, {'name': 'Shadow Burst', 'level': 30, 'power': 55, 'cooldown': 10, 'range': '0 - 300'}, {'name': 'Fire Ball', 'level': 40, 'power': 150, 'cooldown': 55, 'range': '500 - 9999'}, {'name': 'Ignis Rage', 'level': 50, 'power': 120, 'cooldown': 40, 'range': '100 - 1000'}]",305.0,125.0,85,95,580.0,100,4780
